Collection,ministry,n_rows,merge_add_columns,needs_review,n_header_sigs,n_missing_header,sample_titles
"Village/Town-wise Primary Census Abstract, 2011 - Aurangabad District (schema 1)","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",578,district,False,1,0,"Village/Town-wise Primary Census Abstract, 2011 - Kupwara District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Badgam District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Leh(Ladakh) District of JAMMU & KASHMIR"
Population in five year age-group by Residence and Sex for Scheduled Tribes,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",59,state,True,0,59,"Population in five year age-group by Residence and Sex for Scheduled Tribes, 2001 - INDIA | Population in five year age-group by Residence and Sex for Scheduled Tribes, 2001 - JAMMU & KASHMIR | Population in five year age-group by Residence and Sex for Scheduled Tribes, 2001 - HIMACHAL PRADESH"
"Normal Households By Household Size Belonging To Scheduled Tribes, 2001 -Daman & Diu","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",59,state,True,0,59,"Normal Households By Household Size Belonging To Scheduled Castes, 2001 -India | Normal Households By Household Size Belonging To Scheduled Castes, 2001 -Jammu & Kashmir | Normal Households By Household Size Belonging To Scheduled Castes, 2001 -Punjab"
"Disabled Population by type of Disability, Age and Sex","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",56,,True,1,55,"Disabled population by type of disability, age and sex, 2001 - INDIA | Disabled population by type of disability, age and sex, 2001 - JAMMU & KASHMIR | Disabled population by type of disability, age and sex, 2001 - HIMACHAL PRADESH"
NSVA / NSDP at Current Prices for Himachal Pradesh from 2011-12 to 2014-15 (as on 29.07.2016),Ministry of Statistics and Programme Implementation,56,state,True,2,0,GSVA / GSDP at Current Prices for Andhra Pradesh from 2011-12 to 2015-16 (as on 29.07.2016) | GSVA / GSDP at Current Prices for AN Islands from 2011-12 to 2014-15 (as on 29.07.2016) | GSVA / GSDP at Current Prices for Arunachal Pradesh from 2011-12 to 2015-16 (as on 29.07.2016)
Population in five year age-group by Residence and Sex,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",56,state,True,0,56,"Population in five year age-group by Residence and Sex, 2001 - INDIA | Population in five year age-group by Residence and Sex, 2001 - JAMMU & KASHMIR | Population in five year age-group by Residence and Sex, 2001 - HIMACHAL PRADESH"
NSVA / NSDP at 2011-12 Prices for Himachal Pradesh from 2011-12 to 2014-15 (as on 29.07.2016),Ministry of Statistics and Programme Implementation,56,state,True,2,0,GSVA / GSDP at 2011-12 Prices for Andhra Pradesh from 2011-12 to 2015-16 (as on 29.07.2016) | GSVA / GSDP at 2011-12 Prices for AN Islands from 2011-12 to 2014-15 (as on 29.07.2016) | GSVA / GSDP at 2011-12 Prices for Arunachal Pradesh from 2011-12 to 2015-16 (as on 29.07.2016)
Details of Annual Traffic and Operating Statistics on International Scheduled Services of Air India Express (schema 1),Ministry of Civil Aviation,55,,True,3,0,Details of Annual Traffic and Operating Statistics on Domestic Scheduled Services of Air Asia from 2007-08 to 2015-16 | Details of Annual Traffic and Operating Statistics on Domestic Scheduled Services of Air Costa from 2007-08 to 2015-16 | Details of Annual Traffic and Operating Statistics on Domestic Scheduled Services of Air India from 2007-08 to 2015-16
Marital status by age and sex for Scheduled Castes,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",48,,True,1,47,"Marital status by age and sex for Scheduled Castes, 2001 - INDIA | Marital status by age and sex for Scheduled Castes, 2001 - JAMMU & KASHMIR | Marital status by age and sex for Scheduled Castes, 2001 - HIMACHAL PRADESH"
State & UT-wise and Sex-wise Distribution of Different Types of Prison Inmates in Central Jails at the end (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",48,year,False,1,0,State & UT-wise and Sex-wise Distribution of Different Types of Prison Inmates in Central Jails at the end of 2014 | State & UT-wise and Sex-wise Distribution of Different Types of Prison Inmates in District Jails at the end of 2014 | State & UT-wise and Sex-wise Distribution of Different Types of Prison Inmates in Sub-Jails at the end of 2014
Marital status by age and sex for Scheduled Tribes,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",41,,True,1,40,"Marital status by age and sex for Scheduled Tribes, 2001 - INDIA | Marital status by age and sex for Scheduled Tribes, 2001 - JAMMU & KASHMIR | Marital status by age and sex for Scheduled Tribes, 2001 - HIMACHAL PRADESH"
