Collection,ministry,n_rows,merge_add_columns,needs_review,n_header_sigs,n_missing_header,sample_titles
"Village/Town-wise Primary Census Abstract, 2011 - Aurangabad District (schema 1)","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",578,district,False,1,0,"Village/Town-wise Primary Census Abstract, 2011 - Kupwara District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Badgam District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Leh(Ladakh) District of JAMMU & KASHMIR"
State/UT-wise Disposal of IPC Cases by Police (schema 7),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Disposal of IPC Cases by Police during 2001 | State/UT-wise Disposal of SLL Cases by Police during 2001
Percentage of IPC Crime Cases Disposed of by Police (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,Percentage of IPC Crime Cases Disposed of by Police during 2001 | Percentage of SLL Crime Cases Disposed of by Police during 2001
Staff Strength of Spicejet,Ministry of Civil Aviation,2,,True,2,0,Staff Strength of Spicejet from 2007-08 to 2015-16 | Staff Strength of Spicejet from 2007-08 to 2016-17
State & UT-wise Distribution of Convicts in Jails by Sex and Age-groups at the end (schema 3),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,"State/UT-wise Distribution of Foreign Detenues in Jails by Sex and Age-Groups as on 31st December, 2017 | State/UT-wise Distribution of Foreign Detenues in Jails by Sex and Age-groups as on 31st December, 2019"
"State & UT-wise Capacity of Jails, Inmate Population and Occupancy Rate at the end (schema 10)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,"State/UT-wise Capacity, Inmates Population and Occupancy Rate of District Jails as on 31st December, 2017 | State/UT-wise Capacity, Inmates Population and Occupancy Rate of District Jails as on 31st December, 2019"
"State & UT-wise Capacity of Jails, Inmate Population and Occupancy Rate at the end (schema 13)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,"State/UT-wise Capacity, Inmates Population and Occupancy Rate of Special Jails as on 31st December, 2017 | State/UT-wise Capacity, Inmates Population and Occupancy Rate of Special Jails as on 31st December, 2019"
Percentage Growth in Available Seat Kilometres of Jetlite,Ministry of Civil Aviation,2,,True,2,0,Percentage Growth in Available Seat Kilometres of Jetlite from 2007-08 to 2015-16 | Yearly Percentage Growth in Available Seat Kilometers of Jetlite from 2007-08 to 2016-17
Percentage Growth in Available Seat Kilometres of Air India Express,Ministry of Civil Aviation,2,,True,2,0,Percentage Growth in Available Seat Kilometres of Air India Express from 2007-08 to 2015-16 | Yearly Percentage Growth in Available Seat Kilometers of Air India Express from 2007-08 to 2016-17
State/UT-wise Undertrials (Indian Prisoners) in Jails by Sex and Age-Groups (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,"State/UT-wise Undertrials (Indian Prisoners) in Jails by Sex and Age-Groups as on 31st December, 2017 | State/UT-wise Undertrials (Indian Prisoners) in Jails by Sex and Age-groups as on 31st December, 2019"
State/UT-wise Detenues (Indian Prisoners) in Jails by Sex and Age-Groups (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,"State/UT-wise Detenues (Indian Prisoners) in Jails by Sex and Age-Groups as on 31st December, 2017 | State/UT-wise Detenues (Indian Prisoners) in Jails by Sex and Age-groups as on 31st December, 2019 "
State & UT-wise Number of Convicts by Type of Offences under Special and Local Laws at the end (schema 5),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,"State/UT-wise Convicts by Type of Offences under Special and Local Laws (SLL) as on 31st December, 2017 | State/UT-wise Convicts by Type of Offences under Special and Local Laws as on 31st December, 2016"
State/UT-wise Incidence of Recidivism during the year,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UT-wise Incidence of Recidivism during the year 2017 | State/UT-wise Incidence of Recidivism during the year 2016
State/UT-wise Period of Detention of Convicts in Jails due to Non-Payment of Fine Amount after Completion of their Sentence (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,"State/UT-wise Period of Detention of Convicts in Jails due to Non-payment of Fine Amount after Completion of their Sentence as on 31st Decemberm, 2017 | State/UT-wise Period of Detention of Convicts in Jails due to Non-payment of Fine Amount after Completion of their Sentence as on 31st December 2016"
State/UT-wise NGOs Working for the Welfare of Prisoners (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise NGOs Working for the Welfare of Prisoners during 2017 | State/UT-wise NGOs working for the Welfare of Prisoners during 2019
State & UT-wise Sanctioned and Actual Strength of Jail Officers/Staff (schema 3),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,"State/UT-wise Sanctioned and Actual Strength of Jail Officers/Staff as on 31st December, 2017 | State/UT-wise Sanctioned and Actual Strength of Jail Officers/Staff as on 31st December, 2016"
Percentage Growth in Scheduled Cargo Traffic of Indigo,Ministry of Civil Aviation,2,,True,1,0,Percentage Growth in Scheduled Cargo Traffic of Indigo from 2007-08 to 2015-16 | Yearly Percentage Growth in scheduled Cargo Traffic of Indigo from 2007-08 to 2016-17
State/UT-wise Number of Jails Renovated / Expanded (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Number of Jails Renovated/Expanded during 2017 | State/UT-wise Number of Jails Renovated / Expanded during 2019
Country-wise Scheduled International Freight Carried by All Scheduled Domestic and Foreign Airlines (schema 2),Ministry of Civil Aviation,2,,True,2,0,Country-wise Scheduled International Freight Carried by All Scheduled Domestic and Foreign Airlines from 2011-12 to 2015-16 | Country-wise scheduled International Freight Carried by  all scheduled Domestic and Foreign Airlines from 2011-12 to 2016-17
Fleet Size of Scheduled National Airlines,Ministry of Civil Aviation,2,,True,1,0,Fleet Size of Scheduled National Airlines from 2007-08 to 2015-16 | Fleet size of Scheduled National Airlines from 2007-08 to 2016-17
Fleet Size of Alliance Air,Ministry of Civil Aviation,2,,True,1,0,Fleet Size of Alliance Air from 2007-08 to 2015-16 | Fleet size of Alliance Air from 2007-08 to 2016-17
Employees Productivity of Blue Dart,Ministry of Civil Aviation,2,,True,1,0,Employees Productivity of Blue Dart from 2012-13 to 2015-16 | Employees Productivity of Blue Dart from 2012-13 to 2016-17
Block-wise Distribution of Deep Tubewells according to source of energy - 4th Minor Irrigation Census (2006-07) (schema 4),Ministry of Jal Shakti,2,,True,2,0,State-wise Distribution of Deep Tubewells according to source of finance - 4th Minor Irrigation Census (2006-07) | State-wise Distribution of Shallow Tubewells according to source of finance - 4th Minor Irrigation Census (2006-07)
State/UT-wise Details of Expenses on Inmates during the financial year (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Details of Expenses on Inmates during the financial year 2016-17 | State/UT-wise Details of Expenses on Inmates during the financial year 2019-20
City-wise Incidence and Rate of Suicides (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,City-wise Incidence and Rate of Suicides during 2017 | City-wise Incidence and Rate of Suicides during 2018
Staff Strength of Blue Dart,Ministry of Civil Aviation,2,,True,2,0,Staff Strength of Blue Dart from 2012-13 to 2015-16 | Staff Strength of Blue Dart from 2012-13 to 2016-17
Personnel Statistics of Scheduled National Airlines,Ministry of Civil Aviation,2,year,True,2,0,Personnel Statistics of Scheduled National Airlines during 2015-16 | Personnel Statistics of Scheduled National Airlines during 2016-17
City-wise Total IPC & SLL Crimes in Metropolitan Cities (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,City-wise Total IPC & SLL Crimes in Metropolitan Cities from 2015 to 2017 | City-wise Total IPC & SLL Crimes in Metropolitan Cities from 2016 to 2018
Personnel Statistics of Jetlite,Ministry of Civil Aviation,2,year,True,2,0,Personnel Statistics of Jetlite during 2015-16 | Personnel Statistics of Jetlite during 2016-17
Personnel Statistics of All Scheduled Indian Airlines,Ministry of Civil Aviation,2,year,True,2,0,Personnel Statistics of All Scheduled Indian Airlines during 2015-16 | Personnel Statistics of All Scheduled Indian Airlines during 2016-17
City-wise Recovery of Victims of Kidnapping & Abduction in Metropolitan Cities (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,City-wise Recovery of Victims of Kidnapping & Abduction in Metropolitan Cities during 2017 | City-wise Recovery of Victims of Kidnapping & Abduction in Metropolitan Cities during 2018
Type of Aircraft wise Fleet Statistics of Vistara,Ministry of Civil Aviation,2,,True,2,0,Type of Aircraft wise Fleet Statistics of Vistara during 2015-16 | Type of Aircraft wise Fleet Statistics of Vistara during 2016-17
Type of Aircraft wise Fleet Statistics of Spicejet,Ministry of Civil Aviation,2,,True,2,0,Type of Aircraft wise Fleet Statistics of Spicejet during 2015-16 | Type of Aircraft wise Fleet Statistics of Spicejet during 2016-17
Type of Aircraft wise Fleet Statistics of Scheduled Private Airlines,Ministry of Civil Aviation,2,,True,2,0,Type of Aircraft wise Fleet Statistics of Scheduled Private Airlines during 2015-16 | Type of Aircraft wise Fleet Statistics of Scheduled Private Airlines during 2016-17
Type of Aircraft wise Fleet Statistics of Blue Dart,Ministry of Civil Aviation,2,,True,2,0,Type of Aircraft wise Fleet Statistics of Blue Dart during 2015-16 | Type of Aircraft wise Fleet Statistics of Blue Dart during 2016-17
Fleet Strength and Utilisation of Aircraft by Vistara,Ministry of Civil Aviation,2,,True,2,0,Fleet Strength and Utilisation of Aircraft by Vistara during 2014-15 and 2015-16 | Fleet Strength and Utilisation of Aircraft by Vistara from 2014-15 to 2016-17
Crime Head-wise SLL Crimes (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,Crime Head-wise SLL Crimes from 2015 to 2017 | Crime Head-wise SLL Crimes from 2016 to 2018
Fleet Strength and Utilisation of Aircraft by Jetlite,Ministry of Civil Aviation,2,,True,2,0,Fleet Strength and Utilisation of Aircraft by Jetlite from 2007-08 to 2015-16 | Fleet Strength and Utilisation of Aircraft by Jetlite from 2007-08 to 2016-17
Fleet Strength and Utilisation of Aircraft by Jet Airways,Ministry of Civil Aviation,2,,True,2,0,Fleet Strength and Utilisation of Aircraft by Jet Airways from 2007-08 to 2015-16 | Fleet Strength and Utilisation of Aircraft by Jet Airways from 2007-08 to 2016-17
State/UT-wise Child Victims of Kidnapping & Abduction (Sec.363 to 369 IPC) (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,State/UT-wise Child Victims of Kidnapping & Abduction (Sec. 363 to 369 IPC) during 2017 | State/UT-wise Child Victims of Kidnapping & Abduction (Sec.363 to 369 IPC) during 2018
Recovery of Alive Victims by Purpose of Kidnapping & Abduction,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,Recovery of Alive Victims by Purpose of Kidnapping & Abduction during 2017 | Recovery of Alive Victims by Purpose of Kidnapping & Abduction during 2018
ICAR Publication Repository as on date: National Dairy Research Institute Collection,"Ministry of Agriculture and Farmers Welfare, Department of Agricultural Research and Education (DARE)",2,,True,0,2,ICAR Publication Repository as on date: National Rice Research Institute Collection | ICAR Publication Repository as on date: National Dairy Research Institute Collection
Crime Head-wise Police Disposal of Crime against Senior Citizen under IPC (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,Crime Head-wise Police Disposal of Crime against Senior Citizen under IPC during 2017 | Police Disposal of Crime against Senior Citizen (IPC Crime Head-wise) during 2019
Distribution of Surface Flow Schemes According to Major Source (under Individual Ownership) of Finance for 5th Minor Irrigation Census (2013-14),Ministry of Jal Shakti,2,,True,1,0,Distribution of Surface Flow Schemes According to Major Source (under Individual Ownership) of Finance for 5th Minor Irrigation Census (2013-14) | Distribution of Surface Lift Schemes According to Major Source (under Individual Ownership) of Finance for Minor Irrigation Census (2013-14)
State/UT-wise Economic Offences (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,State/UT-wise Economic Offences during 2017 | State/UT-wise Economic Offences during 2018
Gram Panchayat-wise Rural Sanitation Coverage in Pithoragarh District of Uttarakhand as on date,Ministry of Jal Shakti,2,district,False,1,0,Gram Panchayat-wise Rural Sanitation Coverage in Pithoragarh District of Uttarakhand as on date | Gram Panchayat-wise Rural Sanitation Coverage in Rudraprayag District of Uttarakhand as on date
Crime Head-wise Police Disposal of Cyber Crime Cases (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,Crime Head-wise Police Disposal of Cyber Crime Cases during 2017 | Crime Head-wise Police Disposal of Cyber Crime Cases during 2018
State/UT-wise Court Disposal of Environment Related Offences (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,State/UT-wise Court Disposal of Environment Related Offences during 2017 | State/UT-wise Court Disposal of Environment Related Offences during 2018
Gram Panchayat-wise Rural Sanitation Coverage in Pauri Garhwal District of Uttarakhand as on date,Ministry of Jal Shakti,2,district,False,1,0,Gram Panchayat-wise Rural Sanitation Coverage in Pauri Garhwal District of Uttarakhand as on date | Gram Panchayat-wise Rural Sanitation Coverage in Tehri Garhwal District of Uttarakhand as on date
Block wise Potential Utilized through Lift Schemes for 3rd census of minor irrigation scheme (2000-01) (schema 1),Ministry of Jal Shakti,2,,True,1,0,Village wise Potential Utilized through Lift Schemes for 3rd census of minor irrigation scheme (2000-01) | Village wise Potential Utilized through Surface Flow Schemes for 3rd census of minor irrigation scheme (2000-01)
State/UT & Crime Head-wise Crime Committed by Foreigners,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,State/UT & Crime Head-wise Crime Committed by Foreigners during 2017 | State/UT & Crime Head-wise Crime Committed by Foreigners during 2018
Block wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94) (schema 2),Ministry of Jal Shakti,2,year,False,2,0,Village wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94) | Village wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device for 3rd census of minor irrigation scheme (2000-01)
Sate/UT-wise Custodial Deaths by Reason,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,Sate/UT-wise Custodial Deaths by Reason during 2017 | Sate/UT-wise Custodial Deaths by Reason during 2018
Block wise Distribution of Dugwells according to Social status for 3rd census of minor irrigation scheme (2000-01) (schema 1),Ministry of Jal Shakti,2,year,False,1,0,Village wise Distribution of Dugwells according to social status for 2nd census of minor irrigation schemes (1993-94) | Village wise Distribution of Dugwells according to Social status for 3rd census of minor irrigation scheme (2000-01)
Block wise Distribution of Deep Tubewells in use according to Utilization of Potential Created for 3rd census of minor irrigation scheme (2000-01) (schema 2),Ministry of Jal Shakti,2,,True,1,0,Village wise Distribution of Deep Tubewells in use according to Utilization of Potential Created for 3rd census of minor irrigation scheme (2000-01) | Village wise Distribution of Dugwells in use according to Utilization of Potential Created for 3rd census of minor irrigation scheme (2000-01)
Block-wise CCA and season wise potential created through Deep Tubewell - 4th Minor Irrigation Census (2006-07) (schema 2),Ministry of Jal Shakti,2,,True,1,0,Village-wise CCA and season wise potential created through Deep Tubewells - 4th Minor Irrigation Census (2006-07) | Village-wise CCA and season wise potential created through Shallow Tubewells - 4th Minor Irrigation Census (2006-07)
Block wise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device for 3rd census of minor irrigation scheme (2000-01) (schema 2),Ministry of Jal Shakti,2,year,False,1,0,State wise Distribution of surface lift schemes according to lifting device for 2nd census of minor irrigation schemes (1993-94) | State wise Distribution of Surface Lift Schemes according to Water Lifting Device for 3rd census of minor irrigation scheme (2000-01)
Block-wise Distribution of Surface Flow Schemes according to social status of owner - 4th Minor Irrigation Census (2006-07) (schema 4),Ministry of Jal Shakti,2,,True,1,0,State-wise Distribution of Surface Flow Schemes according to social status of owner - 4th Minor Irrigation Census (2006-07) | State-wise Distribution of Surface Lift Schemes according to social status of owner - 4th Minor Irrigation Census (2006-07)
Crime Head-wise Persons Arrested under SLL by Age and Sex,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,Crime Head-wise Persons Arrested under SLL by Age and Sex during 2017 | Crime Head-wise Persons Arrested under SLL by Age and Sex during 2018
Block wise Distribution of surface lift schemes according to horsepower for 2nd census of minor irrigation schemes (1993-94) (schema 6),Ministry of Jal Shakti,2,,True,2,0,State wise Distribution of surface flow schemes according to ownership for 2nd census of minor irrigation scheme (1993-94) | State wise Distribution of surface lift schemes according to ownership for 2nd census of minor irrigation schemes (1993-94)
"Crime Head, Age Group & Gender-wise Juveniles Apprehended - IPC Crimes & Juveniles in Conflict with Law - SLL Crimes","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,2,0,"Crime Head, Age Group & Gender-wise Juveniles Apprehended under IPC Crimes and Juveniles in Conflict with Law under SLL Crimes during 2018 | Crime Head, Age Group & Gender-wise Juveniles Apprehended - IPC Crimes & Juveniles in Conflict with Law - SLL Crimes during 2019"
State/UT-wise IPC Crimes Reported by GRP (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UT-wise IPC Crimes reported by GRP during 2018 | State/UT-wise IPC Crimes reported by GRP during 2019
Rank-Wise Police personnel killed or injured on duty (schema 3),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,Rank-wise Police Personnel Killed and Injured on Duty during 2018 | Rank-wise Police Personnel Killed & Injured on Duty during 2019
Crime Head-wise Time taken for Submitting Final Report in SLL Crimes (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,Crime Head-wise Time taken for Submitting Final Report in IPC Crimes during 2019 | Crime Head-wise Time taken for Submitting Final Report in SLL Crimes during 2019
Block wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94) (schema 5),Ministry of Jal Shakti,2,year,False,1,0,State wise distribution of shallow tubewells according to water lifting device for 3rd census of minor irrigation scheme (2000-01) | State wise Distribution of Shallow Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)
Block-wise Distribution of Surface Flow Schemes by location in the command of Major/Medium projects - 4th Minor Irrigation Census (2006-07) (schema 4),Ministry of Jal Shakti,2,,True,1,0,State-wise Distribution of Surface Lift Schemes by location in the command of Major/Medium projects - 4th Minor Irrigation Census (2006-07) | State-wise Distribution of Surface Flow Schemes by location in the command of Major/Medium projects - 4th Minor Irrigation Census (2006-07)
Block wise Distribution of Deep Tubewells in use according to Utilization of Potential Created for 3rd census of minor irrigation scheme (2000-01) (schema 3),Ministry of Jal Shakti,2,,True,1,0,State wise Distribution of Deep Tubewells in use according to Utilization of Potential Created for 3rd census of minor irrigation scheme (2000-01) | State wise Distribution of Dugwells in use according to Utilization of Potential Created for 3rd census of minor irrigation scheme (2000-01)
Block wise Distribution of Deep Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94) (schema 4),Ministry of Jal Shakti,2,,True,1,0,Block wise Distribution of Deep Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94) | Block wise Distribution of Shallow Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94)
"State, UT & City-Wise Value of Property Stolen & Recovered and percentage recovery (schema 6)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,State/UT-wise Value of Property Stolen and Recovered and Percentage Recovery from 2017 to 2019 | State/UT-wise Value of Property Stolen and Recovered and Percentage Recovery from 2020 to 2022
Items Taken Away from Police/CAPFs by Anti National Elements,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,Items Taken Away from Police/CAPFs by Anti National Elements during 2019 | Items Taken Away from Police/CAPFs by Anti National Elements during 2020
Items Recovered from Anti National Elements,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,Items Recovered from Anti National Elements during 2019 | Items Recovered from Anti National Elements during 2020
Crime Head-wise Court Disposal of Crime against Children in Metropolitan Cities (schema 12),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,Crime Head-wise Police Disposal of Crime against Women in Metropolitan Cities during 2019 | Crime Head-wise Police Disposal of Crime against Children in Metropolitan Cities during 2019
State/UT & Crime Head-wise Crime/Atrocities against Scheduled Tribe(s) (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,States/UT & Crime Head-wise Crime/Atrocities against Scheduled Caste(s) during 2019 | State/UT & Crime Head-wise Crime/Atrocities against Scheduled Tribe(s) during 2019
State/UT-wise Court Disposal of Crime/Atrocities against Scheduled Caste(s) (schema 8),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,State/UT-wise Police Disposal of Crime/Atrocities against Scheduled Caste(s) during 2019 | State/UT-wise Police Disposal of Crime against Scheduled Tribe(s) during 2019
State/UT-wise Court Disposal of Crime/Atrocities against Scheduled Caste(s) (schema 7),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,1,0,State/UT-wise Court Disposal of Crime/Atrocities against Scheduled Caste(s) during 2019 | State/UT-wise Court Disposal of Crime/Atrocities against Scheduled Tribe(s) during 2019
Crime Head-wise Court Disposal of Crime against Children in Metropolitan Cities (schema 15),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,Crime Head-wise Police Disposal of Crime against Women in Metropolitan Cities during 2020 | Crime Head-wise Police Disposal of Crime against Children in Metropolitan Cities during 2020
Crime Head-wise Disposal of Persons Arrested for Crime against Children (schema 4),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,Crime Head-wise Disposal of Persons Arrested for Crime against Children during 2020 | Crime Head-wise Disposal of Persons Arrested for Crime against Senior Citizen during 2020
"Crime Head, Age Group & Gender-wise Juveniles Apprehended - IPC Crimes and SLL Crimes in Metropolitan Cities (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,"Crime Head, Age Group & Gender-wise Juveniles Apprehended - IPC Crimes in Metropolitan Cities during 2020 | Crime Head, Age Group & Gender-wise Juveniles Apprehended - SLL Crimes in Metropolitan Cities during 2020"
Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Tribe(s) (schema 6),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Caste(s) during 2020 | Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Tribe(s) during 2020
State/UT-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Caste(s) (schema 3),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,State/UT-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Caste(s) during 2020 | State/UT-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Tribe(s) during 2020
Block wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94) (schema 2),Ministry of Jal Shakti,2,year,True,2,0,State wise Distribution of Deep Tubewells according to source of Finance for 3rd census of minor irrigation scheme (2000-01) | State wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)
Block-wise Distribution of Deep Tubewells according to ownership - 4th Minor Irrigation Census (2006-07) (schema 4),Ministry of Jal Shakti,2,,True,1,0,State-wise Distribution of Deep Tubewells according to ownership - 4th Minor Irrigation Census (2006-07) | State-wise Distribution of Shallow Tubewells according to ownership - 4th Minor Irrigation Census (2006-07)
Crime Head-wise Court Disposal of SLL Crime Cases (schema 3),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,,True,2,0,Crime Head-wise Court Disposal of IPC Crime Cases during 2020 | Crime Head-wise Court Disposal of SLL Crime Cases during 2020
Crime Head and Gender-wise Persons Arrested under IPC Crimes (schema 4),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,Crime Head-wise Age Group and Gender-wise Persons Arrested under IPC Crimes during 2020 | Crime Head-wise Age Group and Gender-wise Persons Arrested under SLL Crimes during 2020
Age Group and Gender-wise Persons Arrested under IPC Crimes (in Metropolitan Cities) (schema 5),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,2,0,Crime Head-wise Age Group and Gender-wise Persons Arrested under IPC Crimes in Metropolitan Cities during 2020 | Crime Head-wise Age Group and Gender-wise Persons Arrested under SLL Crimes in Metropolitan Cities during 2020
State/UT-wise Recidivism Amongst Persons Arrested under IPC Crimes (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,State/UT-wise Recidivism Among Persons Arrested under IPC during 2020 | State/UT-wise Recidivism Among Persons Arrested under SLL during 2020
State/UT-wise Rehabilitation and Other Support to Prisoners (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Rehabilitation and Other Support to prisoners during 2020 | State/UT-wise Details of Rehabilitation and Other Support to Prisoners during 2023
State/UT-wise Number of Undertrial Prisoners by Duration of Confinement (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,False,1,0,State/UT-wise Number of Undertrial Prisoners by Duration of Confinement as on 31st December 2020 | State/UT-wise Number of Undertrial Prisoners by Duration of Confinement as on 31st December 2022
Block-wise CCA and season wise potential created through Deep Tubewell - 4th Minor Irrigation Census (2006-07) (schema 4),Ministry of Jal Shakti,2,,True,1,0,State-wise CCA and season wise potential created through Deep Tubewell - 4th Minor Irrigation Census (2006-07) | State-wise CCA and season wise potential created through Shallow Tubewells - 4th Minor Irrigation Census (2006-07)
State/UT-wise Break-up of Natural Deaths (Illness) in Prisons (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Break-up of Natural Deaths (Illness) in Prisons during 2020 | State/UT-wise Number of Break-up of Natural Deaths (Illness) in Prisons during 2022
State/UT-wise Mode of Murder of Prisoners by Inmates in Jails (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,State/UT-wise Mode of Murder of Prisoners by Inmates in Jails during 2020 | State/UT-wise Number of Mode of Murder of Prisoners by Inmates in Jails during 2022
State/UT-wise Sanctioned and Actual Strength of Total Jail Staff (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",2,year,True,2,0,"State/UT-wise Sanctioned and Actual Strength of Total Jail Staff as on 31st December, 2020 | States/Uts wise Sanctioned and Actual Strength of Total Jail Staff as on 31st December, 2021"
Block wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94) (schema 1),Ministry of Jal Shakti,2,year,False,1,0,District wise Distribution of Shallow Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94) | District wise Distribution of Shallow Tubewells according to source of Finance for 3rd census of minor irrigation scheme (2000-01)
